Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-09-30,43.44,93.888,12.590000000000002,19.47833333333333,18.968333333333334,25.502000000000002,8.703333333333333,1.0483333333333333,23.223333333333333,3.766666666666666,2.1083333333333334,3.313333333333333,,0.8099999999999999,1.072,29.22,81.24166666666667,0.24833333333333332,203.46666666666667,0.08199999999999999,7.9,134.36,752.0866666666667,-0.05
2022-10-01,60.25666666666666,122.60799999999999,10.765,20.150000000000002,18.838333333333335,24.119999999999997,9.56,0.8650000000000001,29.113333333333333,2.6300000000000003,2.6716666666666664,1.575,,3.968,2.102,30.168333333333333,75.76666666666667,0.25166666666666665,214.91166666666666,0.0,0.04,162.50666666666666,751.945,-0.05
2022-10-02,58.31166666666667,123.21400000000001,9.82,19.68,17.871666666666666,25.848000000000003,5.953333333333333,0.7733333333333333,25.838333333333335,1.9000000000000001,2.1966666666666668,0.8066666666666666,,0.826,1.33,30.34166666666667,72.68333333333334,0.4033333333333333,248.095,0.0,0.0,191.525,751.93,-0.04
2022-10-03,48.85666666666666,93.638,7.28,15.71,14.351666666666667,23.898,8.326666666666666,0.7366666666666667,24.391666666666666,1.9016666666666666,1.9400000000000002,0.73,,0.516,0.806,29.400000000000002,81.42833333333333,0.4216666666666667,162.46666666666667,0.184,17.52,135.955,752.06,-0.05
2022-10-04,17.540000000000003,30.344,6.486666666666667,12.898333333333333,12.11,23.381999999999998,10.426666666666666,0.5183333333333334,26.755,0.9900000000000001,1.6333333333333335,0.605,,0.418,0.584,27.69333333333333,89.74,0.7433333333333333,89.20166666666667,0.284,26.74,61.53666666666667,752.3833333333333,-0.07
2022-10-05,21.933333333333334,46.129999999999995,7.101666666666667,12.846666666666666,12.498333333333333,23.16,10.141666666666667,0.465,27.741666666666664,0.9966666666666667,1.5716666666666665,0.6166666666666667,,0.43,0.55,28.96666666666667,79.795,0.7599999999999999,98.575,0.002,0.2,172.59333333333333,752.63,-0.07
2022-10-06,22.599999999999998,56.998000000000005,6.44,13.091666666666667,11.75,23.514,11.916666666666666,0.5133333333333333,26.290000000000003,1.0566666666666666,1.4916666666666665,0.6166666666666666,,0.418,0.508,29.531666666666666,76.22333333333334,0.66,100.90166666666669,0.0,0.0,159.84,752.6999999999999,-0.06
2022-10-07,24.123333333333335,59.95399999999999,6.7316666666666665,12.796666666666667,11.781666666666666,23.23,9.418333333333335,0.5166666666666667,24.19666666666667,1.055,1.4483333333333333,0.6216666666666667,,0.38,0.44399999999999995,29.76833333333333,73.05666666666667,0.42,140.22166666666666,0.0,0.04,187.63,752.8433333333334,-0.06
2022-10-08,31.784999999999997,71.898,10.6,16.15833333333333,16.326666666666668,24.148,9.796666666666667,0.7066666666666667,24.653333333333332,1.53,1.7066666666666668,0.7399999999999999,,0.524,0.71,29.826666666666668,75.90666666666667,0.21666666666666667,186.49833333333333,0.004,0.38,169.6833333333333,752.8233333333334,-0.05
2022-10-09,37.58833333333333,93.326,8.746666666666668,14.99,14.293333333333335,23.526000000000003,10.108333333333333,0.6316666666666667,26.238333333333333,1.6383333333333334,1.6783333333333335,0.63,,0.48,0.634,30.551666666666666,70.90833333333333,0.2966666666666667,180.01666666666665,0.0,0.0,202.3066666666667,752.9633333333333,-0.05
